municipality_name,Latitude,Longitude
Niemce,51.3602767,22.6284194
Strzyżewice,51.0471984,22.4367336
Wojciechów,50.911835,21.0014198
Wólka,54.3056383,20.7001246
Wysokie,54.63582,17.89394
Zakrzew,51.7879743,18.6346473
Cyców,51.3038482,23.1345084
Ludwin,51.3479892,22.911828
Łęczna,51.3002941,22.886766
Milejów,51.3486468,19.7088613
Puchaczów,51.3096213,22.9741647
Spiczyn,51.3418058,22.7532162
Łuków,51.93008,22.3790669
Stoczek Łukowski,51.9617406,21.9697078
Adamów,51.7436921,22.2623567
Krzywda,51.30133,21.71874
Łuków,51.93008,22.3790669
Serokomla,51.6993481,22.3335062
Stanin,51.8713886,22.1976927
Stoczek Łukowski,51.9617406,21.9697078
Trzebieszów,51.9871249,22.5815994
Wojcieszków,51.769415,22.3156679
Wola Mysłowska,51.8442199,21.937747
Chodel,51.1121689,22.1350543
Józefów nad Wisłą,51.0408518,21.8296779
Karczmiska,51.6690189,22.0098964
Łaziska,52.3331783,20.0875415
Opole Lubelskie,51.1475365,21.9664152
Poniatowa,51.19298,22.06505
Wilków,50.8688872,16.5376199
Dębowa Kłoda,51.5960726,23.0061973
Jabłoń,53.6122923,21.750852
Milanów,51.7034952,22.8811028
Parczew,51.639,22.9
Podedwórze,51.6875638,23.1993265
Siemień,51.6329116,22.7803935
Sosnowica,51.9602778,20.535
Puławy,51.4262598,21.985301401055878
Baranów,52.12305,20.47315
Janowiec,51.3232858,21.890616
Kazimierz Dolny,51.3220058,21.947372
Końskowola,51.4088455,22.0526598
Kurów,51.389829,22.1863865
Markuszów,51.3743264,22.2608579
Nałęczów,51.2876064,22.214792
Puławy,51.4262598,21.985301401055878
Wąwolnica,51.2934026,22.1461978
Żyrzyn,51.498164,22.0938269
Radzyń Podlaski,51.7827253,22.6208818
Borki,54.2583888,20.7216827
Czemierniki,51.1408457,22.9985801
Kąkolewnica,51.8990881,22.7003878
Komarówka Podlaska,51.8037075,22.9440422
Radzyń Podlaski,51.7827253,22.6208818
Ulan-Majorat,51.8079694,22.4839689
Wohyń,51.7562261,22.7863152
Dęblin,51.567231750000005,21.856244041776023
Kłoczew,51.7226913,21.9561458
Nowodwór,51.6426403,22.0998348
Ryki,51.6266968,21.935696
Stężyca,51.5825969,21.772083
Ułęż,51.5924737,22.1126419
Świdnik,51.2164934,22.69095582029724
Mełgiew,51.2305243,22.7803878
Piaski,50.1532026,19.4751266
Rybczewice,51.0264882,22.855351719297705
Trawniki,51.1351853,22.9971028
Tomaszów Lubelski,50.4469315,23.4165561
Bełżec,50.3847191,23.4378426
Jarczów,50.4238092,23.5907739
Krynice,50.5872734,23.3816633
Lubycza Królewska,50.3411612,23.5196564
Łaszczów,50.532615,23.7263929
Rachanie,50.5378147,23.5486977
Susiec,50.4166811,23.2041271
Tarnawatka,50.5309034,23.3960072
Telatyn,50.527024,23.8439408
Tomaszów Lubelski,50.4469315,23.4165561
Tyszowce,50.6172008,23.6982172
Ulhówek,50.4495488,23.7856523
Włodawa,51.5466412,23.553219
Hanna,51.7183255,23.5037805
Hańsk,51.4041122,23.4093048
Stary Brus,51.4809284,23.2917215
Urszulin,51.3935008,23.1953882
Włodawa,51.5466412,23.553219
Wola Uhruska,51.321224,23.626537
Wyryki,51.5650777,23.3314842
Adamów,51.7436921,22.2623567
Grabowiec,50.8217588,23.5494427
Komarów-Osada,50.6284673,23.4830714
Krasnobród,50.5460046,23.2115593
Łabunie,50.6526222,23.3683379
Miączyn,52.4156707,20.4376613
Nielisz,50.7982909,23.046839
Radecznica,50.7500377,22.8307007
Sitno,53.0325,14.85219
Skierbieszów,50.8520295,23.3672563
Stary Zamość,50.8174095,23.1608914
Sułów,51.49939,17.1693482
Szczebrzeszyn,50.6946972,22.9786754
Zamość,50.72124515,23.259579874645233
Zwierzyniec,50.6145878,22.9706317
Biała Podlaska,52.029031849999996,23.14940947957289
Chełm,51.1339221,23.4711548
Lublin,51.218194499999996,22.554677562145155
Zamość,50.72124515,23.259579874645233
Kostrzyn nad Odrą,52.61626975,14.627947699728011
Bogdaniec,52.6891522,15.0742997
Deszczno,52.67207,15.3096414
Kłodawa,52.2574519,18.911206
Lubiszyn,52.78004,14.94703
Santok,52.7388292,15.4106106
Witnica,52.6729399,14.8972121
Gubin,51.9509817,14.7272814
Bobrowice,51.9522474,15.0867621
Bytnica,52.1483682,15.1658027
Dąbie,51.4823051,16.4906445
Gubin,51.9509817,14.7272814
Krosno Odrzańskie,52.0536361,15.0980258
Maszewo,53.496222,15.0613549
Bledzew,52.5175796,15.413957
Międzyrzecz,52.4448261,15.578637
Przytoczna,52.5776,15.67994
Pszczew,52.4792371,15.7783386
Skwierzyna,52.5967483,15.5010958
Trzciel,52.365166,15.873213
Nowa Sól,51.8019595,15.7175608
Bytom Odrzański,51.7308267,15.826918
Kolsko,51.9607173,15.961976
Kożuchów,51.7454762,15.5944541
Nowa Sól,51.8019595,15.7175608
Nowe Miasteczko,51.6908103,15.7311977
Otyń,51.8473213,15.7104
Siedlisko,54.20178,22.23588
Cybinka,52.1940293,14.7968841
Górzyca,52.4928154,14.6514668
Ośno Lubuskie,52.455132,14.8682003
Rzepin,52.34432,14.8382902
Słubice,52.3557481,14.5662367
Dobiegniew,52.9667749,15.7548055
Drezdenko,52.8398486,15.8318163
Stare Kurowo,52.8572,15.67243
Strzelce Krajeńskie,52.8785785,15.5326861
Zwierzyn,53.10515,15.40739
Krzeszyce,52.5832825,15.010099
Lubniewice,52.5119594,15.2441003
Słońsk,52.5649328,14.8053799
Sulęcin,52.4413768,15.1161501
Torzym,52.3138586,15.0828279
Lubrza,52.3071516,15.4411776
Łagów,50.7754877,21.0839837
Skąpe,52.1530017,15.4585348
Szczaniec,52.2692546,15.6855248
Świebodzin,52.2498357,15.5324973
Zbąszynek,52.2436262,15.8138946
Babimost,52.165312,15.8285175
