"","mncplty_c","Longitude","Latitude","within_russian","within_prussian","within_austrian"
"1371","1804032",22.699433507679,49.9414049103742,FALSE,FALSE,TRUE
"1372","1804042",22.7044922031656,50.0452264302378,FALSE,FALSE,TRUE
"1373","1804052",22.9155519891424,50.0257588416983,FALSE,FALSE,TRUE
"1374","1804062",22.6188368058402,50.00371000596,FALSE,FALSE,TRUE
"1375","1804073",22.4909024689995,49.8979891511254,FALSE,FALSE,TRUE
"1376","1804082",22.9325897545014,49.9524719181918,FALSE,FALSE,TRUE
"1377","1804092",22.6267910807258,49.8870005458588,FALSE,FALSE,TRUE
"1378","1804102",22.5748983327249,49.9203256606926,FALSE,FALSE,TRUE
"1379","1804112",22.8035357502604,50.1198714765634,FALSE,FALSE,TRUE
"1380","1805011",21.4713642425328,49.7474433772891,FALSE,FALSE,TRUE
"1381","1805022",21.3795821372218,49.8202068911127,FALSE,FALSE,TRUE
"1382","1805032",21.4111821658226,49.6496432686179,FALSE,FALSE,TRUE
"1383","1805042",21.4817945452982,49.7388689386186,FALSE,FALSE,TRUE
"1384","1805053",21.4849315558729,49.8071314917004,FALSE,FALSE,TRUE
"1385","1805062",21.4855473890105,49.4926929319563,FALSE,FALSE,TRUE
"1386","1805072",21.531708152839,49.5922699407468,FALSE,FALSE,TRUE
"1387","1805082",21.4508854793751,49.6141660346028,FALSE,FALSE,TRUE
"1388","1805092",21.3294476488493,49.7595061438544,FALSE,FALSE,TRUE
"1389","1805112",21.5613523268901,49.7028101916448,FALSE,FALSE,TRUE
"1390","1806012",21.6987219808358,50.3179918900636,FALSE,FALSE,TRUE
"1391","1806023",21.8012758413572,50.2166531483317,FALSE,FALSE,TRUE
"1392","1806032",21.7724401428359,50.3907103077411,FALSE,FALSE,TRUE
"1393","1806042",21.6342152636651,50.2431982621801,FALSE,FALSE,TRUE
"1394","1806052",21.992780232491,50.2756793153635,FALSE,FALSE,TRUE
"1395","1806062",21.8957185838677,50.3255837206411,FALSE,FALSE,TRUE
"1396","1807012",21.6530767470802,49.6412735120745,FALSE,FALSE,TRUE
"1397","1807023",21.6798858253155,49.50868110749,FALSE,FALSE,TRUE
"1398","1807033",21.7781892886146,49.5664542190583,FALSE,FALSE,TRUE
"1399","1807043",21.646208729577,49.7147110962689,FALSE,FALSE,TRUE
"1400","1807052",21.8286823097007,49.7431180596369,FALSE,FALSE,TRUE
"1401","1807062",21.8279488466662,49.6759934456067,FALSE,FALSE,TRUE
"1402","1807072",21.7765490438415,49.6333927686763,FALSE,FALSE,TRUE
"1403","1807083",21.870973790739,49.5455993410716,FALSE,FALSE,TRUE
"1404","1807092",21.7003229537807,49.775522037564,FALSE,FALSE,TRUE
